tournament: 7500, best_winning_streak: 78, mean_duration: 689.92, stdev: 129.32955424032048
tournament: 7600, best_winning_streak: 79, mean_duration: 665.75, stdev: 132.71604085414845
tournament: 7700, best_winning_streak: 80, mean_duration: 668.45, stdev: 105.86032070610781
tournament: 7800, best_winning_streak: 80, mean_duration: 654.62, stdev: 132.6897720248249
tournament: 7900, best_winning_streak: 65, mean_duration: 682.78, stdev: 114.01996141027237
tournament: 8000, best_winning_streak: 68, mean_duration: 661.24, stdev: 111.55788811195735
tournament: 8100, best_winning_streak: 69, mean_duration: 686.07, stdev: 120.3754339556041
tournament: 8200, best_winning_streak: 69, mean_duration: 681.91, stdev: 134.59807539485845
tournament: 8300, best_winning_streak: 68, mean_duration: 653.57, stdev: 113.94702760493578
tournament: 8400, best_winning_streak: 69, mean_duration: 686.27, stdev: 113.32341814470652
tournament: 8500, best_winning_streak: 70, mean_duration: 660.08, stdev: 116.62458402926889
tournament: 8600, best_winning_streak: 72, mean_duration: 683.94, stdev: 120.58713198347493
tournament: 8700, best_winning_streak: 72, mean_duration: 697.18, stdev: 123.33396774611606
tournament: 8800, best_winning_streak: 72, mean_duration: 665.24, stdev: 119.97534079968267
tournament: 8900, best_winning_streak: 74, mean_duration: 684.61, stdev: 119.6213103924213
tournament: 9000, best_winning_streak: 74, mean_duration: 670.83, stdev: 113.40697112611728
tournament: 9100, best_winning_streak: 76, mean_duration: 656.2, stdev: 126.35347244931576
tournament: 9200, best_winning_streak: 76, mean_duration: 686.69, stdev: 126.9778480680784
tournament: 9300, best_winning_streak: 77, mean_duration: 661.72, stdev: 124.34283895745665
tournament: 9400, best_winning_streak: 79, mean_duration: 695.72, stdev: 108.99386037754604
tournament: 9500, best_winning_streak: 79, mean_duration: 662.74, stdev: 126.3914253420698
tournament: 9600, best_winning_streak: 81, mean_duration: 665.09, stdev: 123.41175754359875
tournament: 9700, best_winning_streak: 81, mean_duration: 672.25, stdev: 115.88031541206642
tournament: 9800, best_winning_streak: 82, mean_duration: 692.22, stdev: 116.25382402312623
tournament: 9900, best_winning_streak: 82, mean_duration: 658.69, stdev: 119.97780586425141
tournament: 10000, best_winning_streak: 82, mean_duration: 674.67, stdev: 117.44216065791706
tournament: 10100, best_winning_streak: 85, mean_duration: 681.45, stdev: 139.09625264542535
tournament: 10200, best_winning_streak: 87, mean_duration: 653.05, stdev: 127.7722485518667
tournament: 10300, best_winning_streak: 88, mean_duration: 682.56, stdev: 129.4377317477404
tournament: 10400, best_winning_streak: 89, mean_duration: 681.47, stdev: 121.83656717094422
tournament: 10500, best_winning_streak: 93, mean_duration: 666.0, stdev: 114.97286636419916
tournament: 10600, best_winning_streak: 93, mean_duration: 682.08, stdev: 103.78378293355857
tournament: 10700, best_winning_streak: 96, mean_duration: 682.37, stdev: 118.68333118007769
tournament: 10800, best_winning_streak: 97, mean_duration: 673.97, stdev: 120.77644265335853
tournament: 10900, best_winning_streak: 99, mean_duration: 674.68, stdev: 117.16440415074878
tournament: 11000, best_winning_streak: 97, mean_duration: 680.33, stdev: 111.14432554116291
tournament: 11100, best_winning_streak: 97, mean_duration: 683.05, stdev: 114.84357840123234
tournament: 11200, best_winning_streak: 98, mean_duration: 677.98, stdev: 127.02220120907998
tournament: 11300, best_winning_streak: 101, mean_duration: 678.82, stdev: 111.84751941817933
tournament: 11400, best_winning_streak: 104, mean_duration: 677.37, stdev: 100.45234243162277
tournament: 11500, best_winning_streak: 104, mean_duration: 686.96, stdev: 116.44208174023686
tournament: 11600, best_winning_streak: 104, mean_duration: 685.36, stdev: 126.18585657671781
tournament: 11700, best_winning_streak: 106, mean_duration: 673.11, stdev: 120.50675458247146
tournament: 11800, best_winning_streak: 109, mean_duration: 700.83, stdev: 112.83599204154673
tournament: 11900, best_winning_streak: 111, mean_duration: 661.12, stdev: 124.54423150029872
tournament: 12000, best_winning_streak: 112, mean_duration: 670.89, stdev: 115.45197226552695
tournament: 12100, best_winning_streak: 115, mean_duration: 692.48, stdev: 111.37239155194612
